economy,series,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
AFE,SE.PRM.ENRR.FE,,,,,,,,,,,53.4128799438477,50.5861206054688,51.5266799926758,52.7547988891602,56.2120513916016,58.4527893066406,59.7391204833984,61.7698707580566,63.2358894348145,65.979133605957,69.2611083984375,71.4942626953125,72.0937118530273,71.9779205322266,71.5183181762695,69.0084991455078,68.9175262451172,68.3173217773438,67.4894790649414,69.574089050293,67.7468032836914,69.3729095458984,68.1655578613281,68.9808731079102,68.8783798217773,69.7845001220703,69.4062423706055,72.298942565918,72.5601806640625,72.4211196899414,74.1068725585938,76.817268371582,79.0013275146484,82.6263275146484,85.0080413818359,88.5643615722656,91.4014282226562,94.5530624389648,98.3871002197266,98.4381637573242,97.8992309570312,97.1828231811523,97.8210601806641,97.6475296020508,98.3120574951172,97.6766204833984,98.4886779785156,99.2469177246094,100.397392272949,101.581253051758,102.679443359375,101.799057006836,99.3051300048828,99.8260803222656,100.319190979004
AFE,SE.PRM.ENRR.MA,,,,,,,,,,,70.340950012207,66.7481689453125,67.311653137207,68.4033203125,71.7347869873047,74.0405578613281,75.7169570922852,77.3618316650391,78.070198059082,80.9015197753906,83.6900100708008,84.8456192016602,85.0720062255859,84.6268310546875,83.3711013793945,81.1280670166016,80.5018920898438,78.0212478637695,77.8991622924805,79.1792297363281,76.57763671875,78.0464019775391,76.5186309814453,77.1028213500977,77.1921234130859,79.8190765380859,79.6977386474609,83.0355606079102,83.3733062744141,81.4489517211914,83.3678512573242,86.1019592285156,88.7648468017578,92.3664398193359,94.1967620849609,97.1745223999023,99.1968688964844,102.355903625488,105.863906860352,104.935249328613,104.07836151123,104.747787475586,104.623512268066,103.379051208496,103.519523620605,101.695373535156,102.173400878906,103.185272216797,104.823997497559,105.613983154297,106.479591369629,104.912391662598,101.695259094238,101.874801635742,102.28556060791
AFE,SE.SEC.ENRR,,,,,,,,,,,16.8848991394043,16.1438903808594,16.9476795196533,17.1273708343506,17.2605495452881,17.8118801116943,17.8740692138672,18.3465805053711,18.949649810791,19.5662002563477,20.37034034729,21.0441398620606,21.8070297241211,22.352689743042,22.9280109405518,23.5769100189209,23.6898307800293,24.0443096160889,24.2764701843262,24.0915794372559,24.2189292907715,24.6175899505615,24.4192504882812,24.6954898834229,25.0056095123291,25.7894802093506,26.1036396026611,26.4752101898193,27.3343696594238,27.5691108703613,27.7371292114258,28.7891101837158,29.4754505157471,30.0984306335449,31.5510196685791,32.5553398132324,34.0642395019531,35.4449501037598,36.8555488586426,37.9614715576172,38.864860534668,39.4915084838867,40.5120582580566,41.1352310180664,42.2156600952148,42.2618598937988,42.6814994812012,43.2540893554688,43.5594100952148,44.1287307739258,44.682559967041,45.1505317687988,45.2816200256348,45.1553916931152,45.6060791015625
AFE,SE.SEC.ENRR.FE,,,,,,,,,,,14.7781295776367,14.0784196853638,14.8002595901489,14.9743499755859,15.1263399124146,15.4667701721191,15.3641595840454,15.7148504257202,16.1176891326904,16.5291996002197,17.2422904968262,17.8922691345215,18.577880859375,19.1266708374023,19.7140197753906,20.3537693023682,20.6373901367188,21.1069602966309,21.4743194580078,21.462760925293,21.9713706970215,22.4656505584717,22.4601402282715,22.7249794006348,22.9812507629394,24.0746593475342,24.3926200866699,24.69508934021,25.45924949646,25.5465106964111,25.5485401153564,26.3633804321289,26.9570503234863,27.4211807250977,28.4966602325439,29.3665599822998,30.7157497406006,31.8105907440186,33.3657188415527,34.5432586669922,35.623420715332,36.5236701965332,37.6529693603516,38.6157493591309,39.738208770752,39.6892509460449,40.2670402526855,40.8391418457031,41.1385498046875,41.6500816345215,42.3275299072266,42.7693405151367,42.9131698608398,,
AFE,SE.SEC.ENRR.MA,,,,,,,,,,,18.9835796356201,18.2027091979981,19.0898990631104,19.2787609100342,19.3963794708252,20.1599998474121,20.389799118042,20.9867992401123,21.7955303192139,22.6267395019531,23.5220508575439,24.1950702667236,25.0384693145752,25.5795192718506,26.1299991607666,26.7892208099365,26.7190608978271,26.9528198242188,27.0498600006104,26.6967601776123,26.4478893280029,26.7537899017334,26.3668708801269,26.6664199829102,27.0245494842529,27.5038890838623,27.8125991821289,28.255989074707,29.20339012146,29.5820293426514,29.9147891998291,31.2034797668457,31.9824695587158,32.7631492614746,34.5908699035645,35.7283401489258,37.3952903747559,39.0591583251953,40.3244514465332,41.3559188842773,42.081600189209,42.4351081848145,43.3469886779785,43.6335487365723,44.6735801696777,44.8140106201172,45.0760307312012,45.650218963623,45.9612617492676,46.5883598327637,47.018871307373,47.5120506286621,47.6300582885742,,
AFE,SE.TER.ENRR,,,,,,,,,,,1.88971996307373,1.82993996143341,1.93185997009277,1.89342999458313,1.97111999988556,2.0278000831604,2.06860995292664,2.10810995101929,2.19693994522095,2.24832010269165,2.31379008293152,2.37480998039246,2.54147005081177,2.57652997970581,2.61872005462646,2.71170997619629,2.80894994735718,2.90907001495361,3.01823997497559,3.1723198890686,3.19349002838135,3.32539010047913,3.44453001022339,3.58260989189148,3.75828003883362,3.77903008460998,3.79064011573792,3.8187301158905,3.85899996757507,3.8215799331665,3.99448990821838,4.2595100402832,4.5005898475647,4.8099799156189,5.12434005737305,5.39512014389038,5.67903995513916,5.82964992523193,6.22163009643555,6.78540992736816,7.34631013870239,7.71177005767822,7.9946699142456,8.18673038482666,8.29104042053223,8.43400001525879,8.57314014434814,8.71269035339355,8.7509298324585,8.67273044586182,8.71187019348145,8.66186046600342,,,
AFE,SE.TER.ENRR.FE,,,,,,,,,,,1.6085000038147,1.60679996013641,1.62805998325348,1.63127994537353,1.68254005908966,1.71178996562958,1.74167001247406,1.76804995536804,1.81728005409241,1.8471200466156,1.89968001842499,1.95332002639771,2.04667997360229,2.08435988426208,2.13316988945007,2.19038009643555,2.27017998695373,2.34637999534607,2.43295001983643,2.56277990341186,2.53165006637573,2.65001010894775,2.78540992736816,2.90673995018005,3.16424989700317,3.18582010269165,3.21984004974365,3.26051998138428,3.33916997909546,3.33978009223938,3.50468993186951,3.73327994346619,3.99998998641968,4.21983003616333,4.51276016235352,4.7675199508667,5.08440017700195,5.2108302116394,5.50124979019165,5.97102022171021,6.4226598739624,6.66951990127563,7.10451984405518,7.3339900970459,7.40940999984741,7.53871011734009,7.71562004089355,7.9309401512146,8.0177001953125,7.97016000747681,8.05679988861084,8.02046966552734,,,
AFE,SE.TER.ENRR.MA,,,,,,,,,,,2.17494988441467,2.05645990371704,2.24056005477905,2.1603000164032,2.26585006713867,2.35087990760803,2.40356993675232,2.45731997489929,2.58827996253967,2.66406989097595,2.74394011497498,2.80988001823425,3.05022001266479,3.08185005187988,3.11812996864319,3.24732995033264,3.35898995399475,3.48147988319397,3.61104011535644,3.78812003135681,3.86034989356995,4.00486993789673,4.10856008529663,4.26898002624512,4.35506010055542,4.3831901550293,4.37377977371216,4.39461994171143,4.39433002471924,4.31582021713257,4.49486017227173,4.79491996765137,5.00834989547729,5.40652990341187,5.74175977706909,6.02826023101807,6.27903985977173,6.45374011993408,6.94767999649048,7.60516977310181,8.27505016326904,8.75815010070801,8.88735008239746,9.0416202545166,9.17440986633301,9.32995986938477,9.42959022521973,9.49413013458252,9.4838695526123,9.3754997253418,9.36713981628418,9.30325031280518,,,
AFG,SE.PRM.ENRR,,,,,,,,,,,31.6514205932617,32.5397186279297,32.9628715515137,33.4245185852051,33.9628105163574,34.8824882507324,35.7282295227051,36.4627990722656,37.6821899414062,,43.8101081848145,49.459789276123,20.1360893249512,,24.6484394073486,25.136360168457,26.6832408905029,,34.0781402587891,31.8333892822266,30.983039855957,31.6050205230713,,33.955249786377,44.7888412475586,47.6614418029785,,,32.9843292236328,26.2905292510986,21.4578495025635,22.1396503448486,73.4013137817383,95.3357467651367,105.475051879883,99.50390625,102.284866333008,99.3228988647461,104.445137023926,99.7054214477539,103.48560333252,101.542083740234,106.575317382812,107.942840576172,109.829452514648,106.773551940918,106.784042358398,106.54354095459,107.687660217285,109.075309753418,,,,,
AFG,SE.PRM.ENRR.FE,,,,,,,,,,,9.03201961517334,9.06420993804932,9.35881996154785,9.85955047607422,9.95164012908936,10.6323204040527,11.1870098114014,11.8761100769043,12.5929803848267,,16.0818901062012,18.5710906982422,13.2624797821045,,15.5455303192139,16.0756607055664,18.4125499725342,,22.3423805236816,21.6049995422363,21.4987697601318,21.8258495330811,,16.9913997650146,28.9432392120361,31.14674949646,,,,3.93224000930786,0.0,0.0,45.289249420166,67.7774276733398,62.8472290039062,72.6781768798828,77.9809265136719,75.0916976928711,80.9189910888672,78.9098129272461,83.5823516845703,84.4092712402344,89.1339797973633,88.9333267211914,90.1360397338867,86.3734893798828,86.2912979125977,85.887451171875,86.1061782836914,87.5758590698242,,,,,
